"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","strain","RHA","set_size_in_data"
"Sigma54_targets",0.0156144220935565,0.0780721104677826,0.380730400722792,-0.369800668520604,-1.39496632216808,181,"PFLU_0560;PFLU_4426;PFLU_3744;PFLU_5239;PFLU_4955;PFLU_3425;PFLU_1129;PFLU_2618;PFLU_2789;PFLU_2339;PFLU_5903;PFLU_4611;PFLU_0562;PFLU_0587;PFLU_3743;PFLU_2337;PFLU_3136;PFLU_4518;PFLU_1747;PFLU_3582;PFLU_1138;PFLU_2619;PFLU_4423;PFLU_4741;PFLU_2802;PFLU_0553;PFLU_0554;PFLU_5906;PFLU_3421;PFLU_5678;PFLU_4437;PFLU_0588;PFLU_3585;PFLU_2617;PFLU_1124;PFLU_0586;PFLU_2620;PFLU_1137;PFLU_1000;PFLU_4440;PFLU_1002;PFLU_1123;PFLU_4334;PFLU_2058;PFLU_0556;PFLU_1136;PFLU_0091;PFLU_0089;PFLU_2323;PFLU_1139;PFLU_0446;PFLU_4833;PFLU_3135;PFLU_4097;PFLU_2730",2630,"NoRha",181
"Glycine_cleavage",0.0630630630630631,0.157657657657658,0.241339976815091,-0.471378711121854,-1.3965583831817,42,"PFLU_4896;PFLU_5330;PFLU_4952;PFLU_4897",2630,"NoRha",42
"Anti_sigma_system",0.454385964912281,0.757309941520468,0.077274697304471,-0.357182182937651,-1.00605465995781,31,"PFLU_4454;PFLU_4428;PFLU_5882;PFLU_0889;PFLU_0049;PFLU_4433;PFLU_1583;PFLU_3784;PFLU_4731;PFLU_1468;PFLU_4471;PFLU_0888;PFLU_5236;PFLU_1584;PFLU_0890",2630,"NoRha",31
"NO_reductase",0.870563674321503,0.992673992673993,0.0540088272801684,0.294333333333333,0.643348655834517,9,"PFLU_5143;PFLU_2626;PFLU_6034;PFLU_0882;PFLU_5142;PFLU_6033;PFLU_5897;PFLU_5007;PFLU_5141",2630,"NoRha",9
"Pyrimidine_Aspartate",0.992673992673993,0.992673992673993,0.0419926218968594,-0.176683964543453,-0.519807235788151,40,"PFLU_1628",2630,"NoRha",40
"Sigma54_targets",1.16910883353597e-31,5.84554416767984e-31,1.46045153084133,0.746999029102167,2.95468559828766,181,"PFLU_2700;PFLU_4611;PFLU_4609;PFLU_5903;PFLU_2221;PFLU_5904;PFLU_3422;PFLU_0588;PFLU_0563;PFLU_4730;PFLU_0587;PFLU_5905;PFLU_2385;PFLU_4423;PFLU_4728;PFLU_4729;PFLU_0586;PFLU_2220;PFLU_4426;PFLU_4608;PFLU_4607;PFLU_5906;PFLU_2218;PFLU_2057;PFLU_0561;PFLU_2325;PFLU_2058;PFLU_4731;PFLU_4734;PFLU_2216;PFLU_2701;PFLU_2338;PFLU_2384;PFLU_4610;PFLU_0553;PFLU_3426;PFLU_4429;PFLU_4424;PFLU_4818;PFLU_2803;PFLU_2323;PFLU_3744;PFLU_0584;PFLU_4427;PFLU_2802;PFLU_4026;PFLU_0555;PFLU_2791;PFLU_2339;PFLU_3584;PFLU_2730;PFLU_3135;PFLU_4428;PFLU_1747;PFLU_0554;PFLU_2629;PFLU_4425;PFLU_4439;PFLU_0585;PFLU_0469;PFLU_0556;PFLU_1002;PFLU_2219;PFLU_4438;PFLU_4440;PFLU_2620;PFLU_2223;PFLU_3420;PFLU_2222;PFLU_0562;PFLU_0551;PFLU_1003;PFLU_4442;PFLU_1001;PFLU_4436;PFLU_0348;PFLU_2324;PFLU_4644;PFLU_4518;PFLU_2212;PFLU_4437;PFLU_4727;PFLU_3746;PFLU_2224;PFLU_4422;PFLU_1122;PFLU_2326;PFLU_2215;PFLU_2790;PFLU_2214;PFLU_3742;PFLU_4306;PFLU_4430",2630,"Rha",181
"Glycine_cleavage",0.000637443484067886,0.00159360871016972,0.477270815362862,0.607838878787835,1.87303364626397,42,"PFLU_4610;PFLU_4952;PFLU_5721;PFLU_4898;PFLU_4899;PFLU_4897;PFLU_5648;PFLU_1819;PFLU_1820;PFLU_1823;PFLU_1821;PFLU_3808;PFLU_1818;PFLU_3820;PFLU_0611;PFLU_5416;PFLU_5652;PFLU_5679;PFLU_1822;PFLU_5034;PFLU_5649",2630,"Rha",42
"Anti_sigma_system",0.00773109045724109,0.0128851507620685,0.407017918923954,0.562491543708765,1.63570918766355,31,"PFLU_4731;PFLU_4454;PFLU_4427;PFLU_4428;PFLU_4438",2630,"Rha",31
"NO_reductase",0.213333333333333,0.213333333333333,0.140406238523342,0.589980399330515,1.28798942863091,9,"PFLU_5142;PFLU_6034;PFLU_0882",2630,"Rha",9
"Pyrimidine_Aspartate",0.19693094629156,0.213333333333333,0.158514105424824,0.389859916852835,1.18128212933476,40,"PFLU_0673;PFLU_2111;PFLU_5756;PFLU_4364;PFLU_4750;PFLU_1645;PFLU_5265;PFLU_0611;PFLU_1272;PFLU_5758;PFLU_5757;PFLU_5759;PFLU_5034",2630,"Rha",40
